CarPark,WeekDays_Rate_1,WeekDays_Rate_2,Saturday_Rate,Sunday_PublicHoliday_Rate,Address,Location
Bollywood Veggies / Poison Ivy Bistro,Free parking,Free parking,Charges same as weekdays,Charges same as weekdays,"100 Neo Tiew Road, S(719026)","1.4184985,103.7164728"
Bras Basah Complex,"$1.20/30min from 7am the 10am, $1.40/30min from 10am to 10.30pm",$0.60/30min from 10.30pm to 7am the following day,"$1.20/30min from 7am the 10am, $1.40/30min from 10am to 10.30pm, $0.60/30min from 10.30pm to 7am the following day","$0.60/30min from 7am the 10am, $1.40/30min from 10am to 10.30pm, $0.60/30min from 10.30pm to 7am the following day","231 Bain Street, S(180231)","1.2969044,103.8535693"
Breadtalk building,"Free parking for 1st hr, $1.50/hr for 2nd hr, $2.50 for next subsequent hr from 6am to 11.59pm","$2.50/hr from 12am to 5.59am the following day, capped at $12.50","Free parking for 1st hr, subsequently $2.00/entry from 6am to 11.59pm","Free parking for 1st hr, subsequently $2.00/entry from 6am to 11.59pm","30 Tai Seng Street, S(534013)","1.3343323,103.8895688"
Bright Vision Hospital,Free Parking,Free Parking,Free Parking,Free Parking,"5 Lorong Napiri, S(547530)","1.3721361,103.8780714"
Buddha Tooth Relic Temple and Museum (Singapore),$1.20/30min from 7am to 7pm,Car Park closed after 7pm,Charges same as weekdays,Charges same as weekdays,"288 South Bridge Road, S(058840)","1.2814764,103.8442712"
Bugis Junction,"$2.00 for 1st hr, $0.40 for next subsequent 10min from 8am to 5pm","(Mon-Thurs) $3.00/entry from 5pm to 8am the following day, (Fri) $3.00 for 1st 2hr, $0.30 for next subsequent 10min from 5pm to 8am the following day","$3.00 for 1st 2hr, $0.30 for next subsequent 10min from 8am to 8am the following day","$3.00 for 1st 2hr, $0.30 for next subsequent 10min from 8am to 8am the following day","200 Victoria Street, S(180021)","1.299529,103.8556868"
Bugis+,"(Mon-Fri) $1.28 for 1st hr, $0.54 for next subsequent 15min from 8am to 5.59pm","(Mon-Thurs) $3.21/entry from 6pm to 7.59am the following day, (Fri) $3.21 for 1st 2hr, $0.54 for next subsequent 15min from 6pm to 7.59am the following day","$3.21 for 1st 2hr, $0.54 for next subsequent 15min from 8am to 8am the following day","$3.21 for 1st 2hr, $0.54 for next subsequent 15min from 8am to 8am the following day","201 Victoria Street, S(188067)","1.2997818,103.8541438"
Bukit Batok Driving Centre (BBDC),$2.00/hr,$2.00/hr,Charges same as weekdays,Charges same as weekdays,"815 Bukit Batok West Avenue 5, S(659085)","1.3668517,103.7501871"
Bukit Gombak Stadium / Sports Hall / ClubFITT Gym,$0.50/30min from 7am to 10pm,$4.00/entry from 10pm to 7am the following day,Charges same as weekdays,Charges same as weekdays,"800 Bukit Batok West Avenue 5, S(659081)","1.358174,103.752976"
Bukit Panjang Plaza,"$1.28 for 1st hr, $0.43 for next subsequent 15min or part thereof from 12midnight to 5.59pm",$2.57/entry from 6pm to 11.59pm,"$2.57 for 1st 2hr, $0.43 for next subsequent 15min or part thereof from 12midnight to 6pm, $2.57/entry from 6pm to 11.59pm","$2.57 for 1st 2hr, $0.43 for next subsequent 15min or part thereof from 12midnight to 6pm, $2.57/entry from 6pm to 11.59pm","1 Jelebu Road, S(677743)","1.3799623,103.7643089"
Bukit Timah Nature Reserve,Free Parking,Free Parking,Free Parking,Free Parking,"177 Hindhede Drive, S(589333)","1.3484673,103.7766808"
Bukit Timah Plaza,$1.60/hr from 7.30am to 5pm,$2.40/entry from 5pm to 7.30am the following day,Charges same as weekdays,"$2.80 for the 1st 3hr, $1.60 for the next subsequent hr from 7.30am to 5pm, $2.40/entry from 5pm to 7am the following day","1 Jalan Anak Bukit, S(588996)","1.3385566,103.7786133"
Bukit Timah Plaza (Multi-Storey Car Park),$1.40/hr from 7.30am to 5pm,$2.40/entry from 5.01pm to 7.30am the following day,Charges same as weekdays,"$2.40 for the 1st 3hr, $1,40 for the next subsequent hr from 7.30am to 7.30am the following day","1 Jalan Anak Bukit, S(588996)","1.3385566,103.7786133"
Bukit Timah Shopping Centre,$1.50/hr from 7am to 7pm,$2.80/entry from 7pm to 7am the following day,Charges same as weekdays,$3.00/entry from 7am to 7am the following day,"170 Upper Bukit Timah Road, S(588179)","1.3431115,103.7760782"
Burghley Lifestyle Hub,$0.02/min from 7am to 7pm,$0.02/min from 7pm to 7am the following day capped at $2.14,Charges same as weekdays,Charges same as weekdays,"45 Burghley Drive, (S)559022","1.3595449,103.8596699"
Burlington Square,$0.04/min from 7am to 4.49pm,$2.20/entry from 5pm to 6.59am the following day,Charges same as weekdays,Charges same as weekdays,"175 Bencoolen Street, S(189649)","1.30229,103.852577"
Cairnhill Art Centre,HDB parking rates from 8am to 6pm,"Free parking at night, Sunday and PH",Charges same as weekdays,Free Parking,"126 Cairnhill Road, S(229707)","1.3080496,103.8374084"
Cambridge Industrial Trust,"$1.20 for 1st hr, $0.60 for next subsequent 30min from 7am to 5pm","$1.20 for 1st hr, $0.60 for next subsequent 30min from 5pm to 7am the following day",Charges same as weekdays,Charges same as weekdays,"2 Jalan Kilang Barat, S(159346)","1.2857181,103.8079612"
Camden Medical Centre,"$3.00 for 1st hr, $1.50 for next subsequent 30min from 7am to 10am & 12pm to 6pm, $4.00 for 1st hr, $2.00 for next subsequent 30min from 10am to 12pm",$4.00/entry from 6pm to 7am the following day,"$3.00 for 1st hr, subsequently $1.50/30min from 7am-10am & 12pm-1pm, $4.00 for 1st hr, subsequently $2.00/30min from 10am-12pm, $4.00/entry from 6pm to 7am the following day",$4.00/entry from 7am to 7am the following day,"1 Orchard Boulevard, S(248649)","1.3033039,103.8239218"
Capella Singapore,"$8.00 for first 2hr, $1.00 for next subsequent 30min from 8am to 5pm","$8.00 for the first 2hr, $1.00 for next subsequent 30min from 5pm to 8am the following day","$8.00 for first 2hr, $1.00 for next subsequent 30min from 8am to 8am the following day","$8.00 for first 2hr, $1.00 for next subsequent 30min from 8am to 8am the following day","1 The Knolls Sentosa Island, S(098297)","1.2497222,103.8241667"
CapitaCommercial Trust (CCT),$2.05/30min from 8am to 5pm,$3.10/entry from 5pm to 8am the following day,"Charges same as weekdays, $3.10/entry after 1pm",$3.10/entry,"39 Robinson Road, S(068911)","1.2795904,103.8494785"
CapitaGreen,$3.10/30min from 7am to 5.59pm,$3.70/entry from 6pm to 6.59am the following day,"$3.10/30min from 7am to 12.59pm, $3.70/entry from 1pm to 6.59am the following day",$3.70/entry from 7am to 6.59am the following day,"138 Market Street, S(048946)","1.2818145,103.8500991"
Capital Square,$2.40/30min from 8am to 6pm,$3.20/entry from 6pm to 8am,$3.20/entry from 8am to 8am the following day,$3.20/entry from 8am to 8am the following day,"23 Church Street, S(049481)","1.2843312,103.8488553"
Capital Tower,$2.80/30min from 7am to 5.59pm,$3.70/entry from 6pm to 6.59am the following day,"$2.80/30min from 7am to 12.59pm, $3.70/entry from 1pm to 6.59am the following day",$3.70/entry from 7am to 6.59am the following day,"168 Robinson Road, S(068912)","1.2777366,103.8476215"
Capitol Centre,Carpark not in use,Carpark not in use,Carpark not in use,Carpark not in use,"141 North Bridge Road, S(179099)","1.292875,103.851386"
Capitol Piazza,"$2.00 for the 1st hr, $0.40 for next subsequent 15min from 11am to 5.59pm",$3.00/entry from 6pm to 10.59am the following day,"$2.00 for the 1st 2hr, $0.40 for next subsequent 15min from 11am to 10.59am the following day","$2.00 for the 1st 2hr, $0.40 for next subsequent 15min from 11am to 10.59am the following day","13 Stamford Road, S(178905)","1.2930748,103.8510451"
Capri By Fraser,$0.70/30min from 7.01am to 6pm,$2.50/entry from 6.01pm to 7am the following day,"$2.50 for 1st 2hr, $1.20 for next subsequent 30min from 7.01am to 5pm, $2.50/entry from 5.01pm to 7am the following day","$2.50 for 1st 2hr, $1.20 for next subsequent 30min from 7.01am to 5pm, $2.50/entry from 5.01pm to 7am the following day","3 Changi, Business Park Central 1, S (486037)","1.3340705,103.963155"
"Carlton City Hotel, Singapore",$2.50/30min from 7am to 5pm,$3.50/entry from 5pm to 7am the following day,Charges same as weekdays,$3.50/entry from 7am to 7am the following day,"1 Gopeng Street, S(078862)","1.2760377,103.8437778"
Carlton Hotel,"$3.00 for 1st hr, $1.50 for next subsequent 30min from 7am to 6pm",$6.00/entry from 6pm to 7am the following day on Mon to Sat and eve of PH,Charges same as weekdays,Charges same as weekdays,"76 Bras Basah Road, S(189558)","1.2959549,103.8528169"
Carpark @ 22 Bideford Road,"$3 for 1st hr, $1.50 for next subsequent 30min from 7am to 7.59pm",$4/entry from 8pm to 6.59am the following day,Charges same as weekdays,"$4/entry from 7am to 4.59pm, $4/entry from 5pm to 6.59am the following day","22 Bideford Road, S(229923)","1.3035271,103.836921"
Causeway Point,"$1.20 for 1st hr, $0.60 for next subsequent 30min from 7am to 5pm","$1.20 for 1st hr, $0.60 for next subsequent 30min from 5pm to 10.30pm","$1.20 for 1st hr, $0.60 for next subsequent 30min from 7am to 12midnight","$1.20 for 1st hr, $0.60 for next subsequent 30min from 7am to 12midnight","1 Woodlands Square, S(738099)","1.4360933,103.7859471"
Cendex Centre,$0.60/30min from 7am to 6pm,"$2.00/entry from 6.01pm to 11.59pm, $5.00/hr from 12midnight to 7am the following day",Charges same as weekdays,Charges same as weekdays,"120 Lower Delta Road, S(169208)","1.2802849,103.822894"
Centennial Tower,"$3.30 for 1st hr, $1.10 for next subsequent 30min from 7am to 6pm",$2.20/entry from 6pm to 7am the following day,"$2.20 for 1st 2hr, $1.10 for next subsequent hr from 7am to 7am the following day","$2.20 for 1st 2hr, $1.10 for next subsequent hr from 7am to 7am the following day","3 Temasek Avenue, S(039190)","1.293422,103.8602259"
Central Mall,"$2.40 for 1st hr, $1.20 for next subsequent 30min from 7.01am to 5pm",$3.60/entry from 5.01pm to 7am the following day,Charges same as weekdays,$3.60/entry from 7.01am to 7am the following day,"1 & 3 Magazine Road, S(059567)","1.2887379,103.8424537"
Central Square,$2.50/hr from 7am to 4.59pm,$3.50/entry from 5pm to 6.59am the following day,Charges same as weekdays,$3.50/entry from 7am to 6.59am the following day,"20 Havelock Road, S(059765)","1.2882882,103.8432735"
Century Square,"$1.28 for 1st hr, $0.68 for next subsequent 30min from 3.01am to 6pm",$2.57/entry from 6.01pm to 3am the following day,"$1.40 for 1st hr, $0.35/15min for next subsequent 2hr, $0.43/15min subsequently, $2.57/entry from 6.01pm to 3am the following day","$1.40 for 1st hr, $0.35/15min for next subsequent 2hr, $0.43/15min subsequently, $2.57/entry from 6.01pm to 3am the following day","2 Tampines Central 5, S(529509)","1.3523888,103.9438567"
Certis CISCO Centre,$1.60/30min from 7am to 6pm,$1.20/30min from 6pm to 7am the following day,$1.00/30min from 7am to 7am the following day,$1.00/30min from 7am to 7am the following day,"20 Jalan Afifi, S(409179)","1.3218095,103.8921888"
CES Centre,$2.80/hr from 7am to 9.59pm,$5.00/entry from 10pm to 6.59am the following day,$5.00/entry from 7am to 6.59am the following day,$5.00/entry from 7am to 6.59am the following day,"171 Chin Swee Road, S(169877)","1.2868797,103.8401485"
Chancerlodge Complex,$1.20/hr from 7am to 5pm,$1.20/hr from 5pm to 7am the following day,Charges same as weekdays,Charges same as weekdays,"105 Sims Avenue, S(387429)","1.3146098,103.8773822"
Changi Airfreight Centre (CAC),$0.50/30min from 7am to 9.59pm,$2.00/entry from 10pm to 6.59am the following day,Charges same as weekdays,Charges same as weekdays,"9 Airline Road, S(819827)","1.382831,103.999542"
Changi Airport South Carpark,$0.035/min from 12midnight to 12midnight the following day,$0.035/min from 12midnight to 12midnight the following day,Charges same as weekdays,Charges same as weekdays,"60 Airport Boulevard, S(819643)","1.3550971,103.9890242"
Changi Airport Terminal 1 / Jewel (General Parking B3 to B5),$0.04/min from 12midnight to 12midnight the following day,$0.04/min from 12midnight to 12midnight the following day,Charges same as weekdays,Charges same as weekdays,"80 Airport Boulevard, S(918146)","1.361813,103.9902721"
Changi Airport Terminal 1 / Jewel (Short-term Parking B2M an,"$0.04/min for first 90min, $5.00 for next subsequent 30min from 12midnight to 12midnight the following day","$0.04/min for first 90min, $5.00 for next subsequent 30min from 12midnight to 12midnight the following day",Charges same as weekdays,Charges same as weekdays,"80 Airport Boulevard, S(918146)","1.361813,103.9902721"
Changi Airport Terminal 2,$0.04/min from 12midnight to 12midnight the following day,$0.04/min from 12midnight to 12midnight the following day,Charges same as weekdays,Charges same as weekdays,"60 Airport Boulevard, S(819643)","1.3550971,103.9890242"
Changi Airport Terminal 3,$0.04/min from 12midnight to 12midnight the following day,$0.04/min from 12midnight to 12midnight the following day,Charges same as weekdays,Charges same as weekdays,"65 Airport Boulevard, S(819663)","1.3563764,103.986504"
Changi Airport Terminal 4,$0.04/min from 12midnight to 12midnight the following day,$0.04/min from 12midnight to 12midnight the following day,Charges same as weekdays,Charges same as weekdays,"10 Airport Boulevard, S(819665)","1.3384416,103.9836789"
Changi Budget Terminal,Carpark closed,Carpark closed,Carpark closed,Carpark closed,"30 Airport Boulevard, S(819662)","1.3396654,103.9838269"
Changi Chapel and Museum (The Changi Museum),Free Parking,Free Parking,Free Parking,Free Parking,"1000 Upper Changi Road North, S(507707)","1.3621309,103.9740008"
Changi City Point,$0.70/30min from 7.01am to 6pm,$2.50/entry from 6.01pm to 7am the following day,"$2.50 for 1st 2hr, $1.20 for next subsequent 30min from 7.01am to 5pm, $2.50/entry from 5.01pm to 7am the following day","$2.50 for 1st 2hr, $1.20 for next subsequent 30min from 7.01am to 5pm, $2.50/entry from 5.01pm to 7am the following day","5 Changi Business Park Central 1, S(486038)","1.3355425,103.9645975"
Changi Ferry Terminal,Free Parking,Free Parking,Free Parking,Free Parking,"30 Changi Ferry Road, S(499675)","1.3730551,104.0080234"
Changi Hospital (CGH),"$1.50 for 1st hr, $0.03/min for next subsequent min from 7am to 5pm","$1.50 for 1st hr, $0.03/min for next subsequent min from 5pm to 7am the following day",Charges same as weekdays,Charges same as weekdays,"2 Simei Street 3, S(529889)","1.3406241,103.9494707"
Changi Hotel,Carpark closed,Carpark closed,Carpark closed,Carpark closed,"80 Changi Road, S(419715)","1.3163432,103.9005335"
Changi Link @ UE Bizhub East,"$1.50 for the 1st hr, $1.20 for 2nd hr, $1.00 for next subsequent 30min from 7am to 6pm",$2.50/entry from 6.01pm to 6.59am the following day,"$2.50 for 1st 2hr, $1.20 for next subsequent 30min from 7am to 5pm, $2.50/entry from 5.01pm to 6.59am the following day","$2.50 for 1st 2hr, $1.20 for next subsequent 30min from 7am to 5pm, $2.50/entry from 5.01pm to 6.59am the following day","8 Changi Business Park Avenue 1, S(486018)","1.3347475,103.9637749"
Changi Point Coastal Walk / Changi Beach (Car Park 1 to 6),HDB / URA parking rates  from 8.30am to 5pm,Free parking from 5.01pm to 8.29am the following day,Charges same as weekdays,Free Parking,Changi Beach,"1.3909433,103.9920554"
Changi Sailing Club,$1.20/hr from 7am to 5pm,$1.20/hr from 5pm to 7am the following day,$1.20/hr from 7am to 7am the following day,$1.20/hr from 7am to 7am the following day,"32 Netheravon Road, S(508508)","1.3922706,103.9796223"
Changi Village Hotel,"$4.00 for 1st hr, $3.00 for next subsequent hr from 6am to 5pm","(Mon-Thur) $6.50/entry from 6pm to 5am the following day, (Fri) $4.00 for 1st hr, $3.00 for next subsequent hr from 5pm to 12am, $6.50/entry from 12am to 5am the following day","$4.00 for 1st hr, $3.00 for next subsequent hr from 6am to 6am the following day","$4.00 for 1st hr, $3.00 for next subsequent hr from 6am to 6am the following day","1 Netheravon Road, S(508502)","1.3905472,103.9859695"
Charles & Keith Building,Not for public,Not for public,Not for public,Not for public,"21 Tai Seng Street, S(534166) ","1.3371997,103.8891417"
Cheng Yan Court,"$1.20/30min from 7am to 10am, $1.40/30min from 10am to 5pm",$1.40/30min from 5pm to 10.30pm,"$1.20/30min from 7am to 10am, $1.40/30min from 10am to 10.30pm","$0.60/30min from 7am to 10am, $1.40/30min from 10am to 10.30pm","269 Queen Street, S(180269)","1.3005699,103.8541001"
Chevron House,$3.20/30min from 2am to 6.30pm,$3.70/entry from 6.30pm to 2am the following day,"$3.20/30min from 2am to 2pm, $3.70/entry from 2pm to 2am the following day","$3.20/30min from 2am to 6.30am, $3.70/entry from 6.30am to 2am the following day","30 Raffles Place, S(048622)","1.2841089,103.852015"
Chijmes (Basement Car Park),$0.60/15min from 8am to 5.59pm,"(Mon to Thurs) $0.65/15min from 6pm to 10.59pm, $0.45/15min from 11pm to 07.59am the following day (capped at $5.35)","$0.65/15min from 8am to 5.59pm, (Fri to Sat) $0.70/15min from 6pm to 10.59pm, $0.50/15min from 11pm to 7.59am (capped at $6.45)","$0.65/15min fr 8am to 10.59pm, $0.45/15min fr 11pm to 07.59am (capped at $5.35), (Eve/PH) $0.65/15min fr 8am to 5.59pm, $0.70/15min fr 6pm to 10.59pm, $0.50/15min fr 11pm to 7.59am","30 Victoria Street, S(187996)","1.2953653,103.852459"
